,periodo,norm_diff,norm_diff_prom,El Niño,La Niña
0,1919-01,3.1185241671460333,,0,0
1,1919-02,-0.015714535951319712,,0,0
2,1919-03,1.200031722436831,,0,0
3,1919-04,1.3803175185093202,,0,0
4,1919-05,0.7725692553111735,,0,0
5,1919-06,-0.39813640415748597,1.009598620549092,0,1
6,1919-07,1.423009300973082,0.7270128095202667,0,1
7,1919-08,1.2246979299584342,0.9337482205052258,0,1
8,1919-09,-0.6946707635640554,0.6179644728384114,0,1
9,1919-10,0.43664289744087886,0.4606853693270045,0,1
10,1919-11,-0.24523270385586288,0.29105170946583175,0,0
11,1919-12,0.7147145456337626,0.4765268677643732,0,1
12,1927-01,-1.4565057280777545,-0.0033923037440995265,0,0
13,1927-02,-1.679958281152411,-0.48750167226257374,-1,0
14,1927-03,-1.742215319300277,-0.662092431551944,-1,0
15,1927-04,-1.756905373776381,-1.0276838100881538,-1,0
16,1927-05,-1.783488893186863,-1.2840598416433207,-1,0
17,1927-06,-1.7682872530352625,-1.6978934747548247,-1,0
18,1927-07,-1.9450242412660426,-1.7793132269528726,-1,0
19,1927-08,-1.896130099684906,-1.8153418633749554,-1,0
20,1927-09,-1.7640529602217536,-1.8189814701952016,-1,0
21,1927-10,-0.023977302282012322,-1.53016012494614,-1,0
22,1927-11,0.755599590803211,-1.1069787109477944,-1,0
23,1927-12,0.35935801216279184,-0.7523711667481185,-1,0
24,1931-01,-1.5592432365480353,-0.6880743326284507,-1,0
25,1931-02,-1.7178783184276574,-0.6583657024189092,-1,0
26,1931-03,-2.0028268937779794,-0.6981613580116136,-1,0
27,1931-04,-2.3549726481407762,-1.0866605823214075,-1,0
28,1931-05,-1.1046625024812189,-1.3967042645354792,-1,0
29,1931-06,-0.5761153771913998,-1.552616496094511,-1,0
30,1931-07,0.38146372774392384,-1.2291653353791847,-1,0
31,1931-08,0.3131589713314815,-0.8906591204193283,-1,0
32,1931-09,0.4214517422427275,-0.4866126810825437,-1,0
33,1931-10,-0.26556458260456584,-0.13837800349317528,0,0
34,1931-11,1.1289372626867125,0.23388862403481328,0,0
35,1931-12,0.06917249168225548,0.3414366021804225,0,0
36,1932-01,0.795695560582326,0.41047524098682286,0,1
37,1932-02,0.00920718966221723,0.3598166107086122,0,1
38,1932-03,-0.5687190907486732,0.1947881385433787,0,0
39,1932-04,-0.2078155226198175,0.2044129818741701,0,0
40,1932-05,0.3473241042244111,0.0741441221304532,0,0
41,1932-06,-0.2868451144368665,0.014807854443932863,0,0
42,1932-07,-1.01298756489238,-0.2866393331351848,0,0
43,1932-08,-0.7065758252577663,-0.40593650228851547,-1,0
44,1932-09,-0.9718059119092413,-0.4731176391486101,-1,0
45,1932-10,-1.0232405464443801,-0.6090218097860371,-1,0
46,1932-11,-1.0890620558389466,-0.8484195031299301,-1,0
47,1932-12,-0.5962722297381784,-0.8999906890134821,-1,0
48,1933-01,-0.8098177377830295,-0.8661290511619238,-1,0
49,1933-02,-1.6399551494210596,-1.021692271855806,-1,0
50,1933-03,0.03904524448754493,-0.8532170791230081,-1,0
51,1933-04,0.11538775703320928,-0.6634456952100766,-1,0
52,1933-05,0.5668485532367344,-0.3874605936974631,-1,0
53,1933-06,1.2464049112267,-0.08034773686998338,0,0
54,1933-07,-0.07842514676597451,0.041551028299525776,0,0
55,1933-08,1.1363139542697702,0.5042625455813307,0,1
56,1933-09,0.29418531271818227,0.546785890286437,0,1
57,1933-10,0.7612105913307795,0.6544230293360319,0,1
58,1933-11,1.4190278139835943,0.7964529061271753,0,1
59,1933-12,1.0974431619997018,0.7716259479226757,0,1
60,1934-01,0.8066907104394223,0.9191452574569084,0,1
61,1934-02,0.5920595117552354,0.8284361837044859,0,1
62,1934-03,0.24722514631750833,0.8206094893043736,0,1
63,1934-04,-0.27274534457087085,0.648283499987432,0,1
64,1934-05,0.5716791055327258,0.5070587152456204,0,1
65,1934-06,0.46325200963494784,0.40136018985149485,0,1
66,1934-07,0.7532850110878365,0.3924592399595639,0,1
67,1934-08,0.014657627019470446,0.29622559250360303,0,0
68,1934-09,0.24607806252203435,0.29603441187102403,0,0
69,1934-10,0.2660431213447298,0.3858324895236242,0,1
70,1934-11,0.48292162109940023,0.37103957545140315,0,1
71,1934-12,-0.7029377665384973,0.17667461275582905,0,0
72,1935-01,-0.42672679090960486,-0.01999402091041121,0,0
73,1935-02,-0.6280208241536022,-0.1271070961059233,0,0
74,1935-03,-0.6168979867433773,-0.2709364376501586,0,0
75,1935-04,0.35939069339368235,-0.25537850897533315,0,0
76,1935-05,1.0936117104942202,-0.15359682740952985,0,0
77,1935-06,0.24333665344777566,0.0041155759215156795,0,0
78,1935-07,0.7187190919770444,0.19502322306929054,0,0
79,1935-08,1.0456868277490643,0.4739744983864016,0,1
80,1935-09,0.8802445035575066,0.7234982467698824,0,1
81,1935-10,0.35773133266962065,0.7232216866492053,0,1
82,1935-11,1.5919690101713742,0.8062812365953976,0,1
83,1935-12,0.24018445289991786,0.8057558698374212,0,1
84,1936-01,-0.6960840757896161,0.5699553418763113,0,1
85,1936-02,-0.3663094286812295,0.3346226324712623,0,0
86,1936-03,-0.7173320746728228,0.06835986943287403,0,0
87,1936-04,-1.055274980568735,-0.16714118277351855,0,0
88,1936-05,-0.5573567902315278,-0.5253621495073356,-1,0
89,1936-06,-0.05503648687742618,-0.5745656394702262,-1,0
90,1936-07,0.09558923783111944,-0.44262008720010365,-1,0
91,1936-08,-0.8288162385398758,-0.519704555509878,-1,0
92,1936-09,-0.7706956474042463,-0.5285984842984486,-1,0
